"","GWAS_Catalog_2019.Term","GWAS_Catalog_2019.Overlap","GWAS_Catalog_2019.P.value","GWAS_Catalog_2019.Adjusted.P.value","GWAS_Catalog_2019.Old.P.value","GWAS_Catalog_2019.Old.Adjusted.P.value","GWAS_Catalog_2019.Odds.Ratio","GWAS_Catalog_2019.Combined.Score","GWAS_Catalog_2019.Genes"
"31","Suicide risk","1/5",0.0247535287182936,0.169031177545395,0,0,50.2424242424242,185.836036973753,"SORBS1"
"32","Survival in sporadic amyotrophic lateral sclerosis","1/5",0.0247535287182936,0.169031177545395,0,0,50.2424242424242,185.836036973753,"CAMTA1"
"33","Neurocognitive impairment in HIV-1 infection (continuous)","1/5",0.0247535287182936,0.169031177545395,0,0,50.2424242424242,185.836036973753,"RAP1GAP"
"34","Extraversion","1/5",0.0247535287182936,0.169031177545395,0,0,50.2424242424242,185.836036973753,"RBFOX1"
"35","Response to antidepressants","1/5",0.0247535287182936,0.169031177545395,0,0,50.2424242424242,185.836036973753,"SLC27A1"
"36","Post bronchodilator FEV1","3/126",0.0253646928571546,0.169031177545395,0,0,4.97284385214986,18.2722031134334,"ARNT2;CELF4;CAMTA1"
"37","Thyroid peroxidase antibody levels","1/6",0.0296309633944118,0.169031177545395,0,0,40.1919191919192,141.432767389918,"KALRN"
"38","Eye color traits","1/6",0.0296309633944118,0.169031177545395,0,0,40.1919191919192,141.432767389918,"TTC3"
"39","Feeling lonely","1/6",0.0296309633944118,0.169031177545395,0,0,40.1919191919192,141.432767389918,"TCF4"
"40","Peak cortisol response to low dose short synacthen test in corticosteroid treated asthma","1/6",0.0296309633944118,0.169031177545395,0,0,40.1919191919192,141.432767389918,"ANKS1B"
"41","Hyperopia","1/6",0.0296309633944118,0.169031177545395,0,0,40.1919191919192,141.432767389918,"RBFOX1"
"42","Response to mTOR inhibitor (rapamycin)","1/6",0.0296309633944118,0.169031177545395,0,0,40.1919191919192,141.432767389918,"APBA2"
"43","Cold medicine-related SJS/TEN with severe ocular complications","1/6",0.0296309633944118,0.169031177545395,0,0,40.1919191919192,141.432767389918,"NPTN"
"44","Midgestational circulating levels of PBDEs","1/6",0.0296309633944118,0.169031177545395,0,0,40.1919191919192,141.432767389918,"DLGAP1"
"45","Economic and political preferences (time)","1/7",0.0344842492004147,0.173997969048643,0,0,33.4915824915825,112.774618360503,"DLGAP1"
"46","Systolic blood pressure change trajectories","1/7",0.0344842492004147,0.173997969048643,0,0,33.4915824915825,112.774618360503,"OGDH"
"47","Optic nerve measurement (disc area)","1/7",0.0344842492004147,0.173997969048643,0,0,33.4915824915825,112.774618360503,"MEG3"
"48","White matter hyperintensities in ischemic stroke","1/7",0.0344842492004147,0.173997969048643,0,0,33.4915824915825,112.774618360503,"NRCAM"
"49","Albumin-globulin ratio","2/60",0.0363103684614095,0.173997969048643,0,0,6.981703026038,23.1488972243337,"ATXN2L;RBFOX1"
"50","Fuchs's corneal dystrophy","1/8",0.0393135041520565,0.173997969048643,0,0,28.7056277056277,92.8967850071638,"TCF4"
"51","Vitamin B levels in ischemic stroke","1/8",0.0393135041520565,0.173997969048643,0,0,28.7056277056277,92.8967850071638,"MYT1L"
"52","Body mass index and waist-hip ratio (pleiotropy)","1/8",0.0393135041520565,0.173997969048643,0,0,28.7056277056277,92.8967850071638,"ANKS1B"
"53","Response to selective serotonin reuptake inhibitors and depression","1/8",0.0393135041520565,0.173997969048643,0,0,28.7056277056277,92.8967850071638,"MYT1L"
"54","Liver enzyme levels (aspartate transaminase)","1/8",0.0393135041520565,0.173997969048643,0,0,28.7056277056277,92.8967850071638,"CELF2"
"55","DNA methylation (parent-of-origin)","1/8",0.0393135041520565,0.173997969048643,0,0,28.7056277056277,92.8967850071638,"SEPT5"
"56","Photic sneeze reflex","2/65",0.041993132410768,0.173997969048643,0,0,6.42597991577583,20.3719576107223,"RBFOX1;CAMTA1"
"57","Hand grip strength","3/156",0.0434970843589143,0.173997969048643,0,0,3.99171214877704,12.5142625552587,"ATXN2L;ARPP21;TCF4"
"58","Factor VII","1/9",0.0441188457824273,0.173997969048643,0,0,25.1161616161616,78.3842312444799,"MCF2L"
"59","Optic nerve measurement (cup area)","1/9",0.0441188457824273,0.173997969048643,0,0,25.1161616161616,78.3842312444799,"PDE2A"
"60","Response to antipsychotic treatment in schizophrenia (working memory)","1/9",0.0441188457824273,0.173997969048643,0,0,25.1161616161616,78.3842312444799,"ANKS1B"
"61","Coenzyme Q10 levels","1/9",0.0441188457824273,0.173997969048643,0,0,25.1161616161616,78.3842312444799,"DNM1"
"62","Metabolite levels (HVA/5-HIAA ratio)","1/9",0.0441188457824273,0.173997969048643,0,0,25.1161616161616,78.3842312444799,"ANKS1B"
"63","Staphylococcus aureus nasal carriage (persistent)","1/9",0.0441188457824273,0.173997969048643,0,0,25.1161616161616,78.3842312444799,"SORBS1"
"64","Systolic blood pressure","7/657",0.0465960157852576,0.173997969048643,0,0,2.22911497105045,6.83500202309944,"RBFOX1;KDM4B;MCF2L;ZBTB20;NRCAM;MAP4;NCALD"
"65","Depression","2/69",0.0467626402187707,0.173997969048643,0,0,6.04112092598233,18.5019639390654,"RBFOX1;TCF4"
"66","Obesity-related traits","8/804",0.048223318107884,0.173997969048643,0,0,2.08695652173913,6.32746976710257,"RBFOX1;SNRPN;CELF2;SLMAP;AATK;DLGAP1;SORBS1;ANKS1B"
"67","Superior frontal gyrus grey matter volume","1/10",0.0489003911418305,0.173997969048643,0,0,22.324354657688,67.3742300304506,"EIF4G3"
"68","Acute graft versus host disease in bone marrow transplantation (recipient effect)","1/10",0.0489003911418305,0.173997969048643,0,0,22.324354657688,67.3742300304506,"PTK2"
"69","Erythrocyte cadmium concentration in never smokers","1/10",0.0489003911418305,0.173997969048643,0,0,22.324354657688,67.3742300304506,"DLGAP1"
"70","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","1/10",0.0489003911418305,0.173997969048643,0,0,22.324354657688,67.3742300304506,"RBFOX1"
"71","Loneliness (MTAG)","2/71",0.0492185490137595,0.173997969048643,0,0,5.86542443064182,17.6636360143545,"MADD;TCF4"
"72","Urate levels","2/74",0.0529880944930012,0.177262888772,0,0,5.62018140589569,16.5103396024628,"NRXN2;R3HDM2"
"73","Upper eyelid sagging severity","1/11",0.0536582567508638,0.177262888772,0,0,20.0909090909091,58.7683184218827,"DLGAP1"
"74","Proinsulin levels","1/11",0.0536582567508638,0.177262888772,0,0,20.0909090909091,58.7683184218827,"MADD"
"75","LDL peak particle diameter (total fat intake interaction)","1/11",0.0536582567508638,0.177262888772,0,0,20.0909090909091,58.7683184218827,"NCALD"
"76","Platelet distribution width","3/170",0.0536732252855458,0.177262888772,0,0,3.6544848447435,10.6887871072113,"CAMTA1;KALRN;SEPT5"
"77","Osteoarthritis","1/12",0.0583925585800791,0.187904259020511,0,0,18.2635445362718,51.8788186041542,"MCF2L"
"78","Gastric cancer","1/12",0.0583925585800791,0.187904259020511,0,0,18.2635445362718,51.8788186041542,"ZBTB20"
"79","Glomerular filtration rate (creatinine)","2/81",0.0621638842786596,0.197508037391691,0,0,5.12038233014725,14.2243252686936,"EPB41L3;R3HDM2"
"80","Gait speed in old age","1/14",0.0677909321684321,0.202069594745295,0,0,15.4522144522145,41.5869594433684,"NCALD"
"81","Periodontitis (DPAL)","1/14",0.0677909321684321,0.202069594745295,0,0,15.4522144522145,41.5869594433684,"SNRPN"
"82","Blood trace element (Se levels)","1/14",0.0677909321684321,0.202069594745295,0,0,15.4522144522145,41.5869594433684,"MED25"
"83","Breastfeeding duration","1/14",0.0677909321684321,0.202069594745295,0,0,15.4522144522145,41.5869594433684,"CELF2"
"84","Urinary albumin-to-creatinine ratio","1/15",0.0724552331756038,0.202069594745295,0,0,14.3477633477633,37.6598138369901,"CELF2"
"85","Pancreatic ductal adenocarcinoma","1/15",0.0724552331756038,0.202069594745295,0,0,14.3477633477633,37.6598138369901,"THRA"
"86","Pit-and-Fissure caries","1/15",0.0724552331756038,0.202069594745295,0,0,14.3477633477633,37.6598138369901,"RBFOX1"
"87","Blood trace element (Cu levels)","1/15",0.0724552331756038,0.202069594745295,0,0,14.3477633477633,37.6598138369901,"ANK2"
"88","Prostate cancer (advanced)","1/15",0.0724552331756038,0.202069594745295,0,0,14.3477633477633,37.6598138369901,"TCF4"
"89","Psychosis (atypical)","1/15",0.0724552331756038,0.202069594745295,0,0,14.3477633477633,37.6598138369901,"TRIM9"
"90","Self-rated health","1/15",0.0724552331756038,0.202069594745295,0,0,14.3477633477633,37.6598138369901,"TCF4"
"91","BRCA1/2-negative high-risk breast cancer","1/16",0.0770964289305897,0.210339170234544,0,0,13.3905723905724,34.3159973270839,"ASPH"
"92","Stearic acid (18:0) levels","1/16",0.0770964289305897,0.210339170234544,0,0,13.3905723905724,34.3159973270839,"CAMTA1"
"93","Temperament","1/17",0.0817146326715557,0.213649716672505,0,0,12.5530303030303,31.4393429542943,"APBA2"
"94","Fractional exhaled nitric oxide (childhood)","1/17",0.0817146326715557,0.213649716672505,0,0,12.5530303030303,31.4393429542943,"ANK2"
"95","Bipolar disorder with mood-incongruent psychosis","1/17",0.0817146326715557,0.213649716672505,0,0,12.5530303030303,31.4393429542943,"SNAP91"
"96","Liver enzyme levels (alanine transaminase)","1/17",0.0817146326715557,0.213649716672505,0,0,12.5530303030303,31.4393429542943,"CELF2"
"97","Pulse pressure x alcohol consumption (light vs heavy) interaction (2df test)","1/19",0.0908825145361798,0.230419304531123,0,0,11.1571268237935,26.7568838212325,"TRAK1"
"98","Cardiac Troponin-T levels","1/19",0.0908825145361798,0.230419304531123,0,0,11.1571268237935,26.7568838212325,"DLGAP1"
"99","Liver enzyme levels","1/19",0.0908825145361798,0.230419304531123,0,0,11.1571268237935,26.7568838212325,"RAP1GAP"
"100","Eating disorders","1/20",0.0954324164624815,0.235158834956418,0,0,10.5693779904306,24.8310303892707,"DLGAP1"
"101","Feeling guilty","1/20",0.0954324164624815,0.235158834956418,0,0,10.5693779904306,24.8310303892707,"CELF4"
"102","Loneliness","2/104",0.0955625544444408,0.235158834956418,0,0,3.96118447378952,9.30075904717404,"MADD;TCF4"
"103","Age-related hearing impairment","1/21",0.0999597740324998,0.241249070020745,0,0,10.040404040404,23.1229243332888,"NCALD"
"104","Obesity (early onset extreme)","1/21",0.0999597740324998,0.241249070020745,0,0,10.040404040404,23.1229243332888,"TCF4"
"105","Ability to confide in someone","1/22",0.104464697819105,0.245052702360704,0,0,9.56180856180856,21.5992275397069,"TCF4"
"106","Response to platinum-based neoadjuvant chemotherapy in cervical cancer","1/22",0.104464697819105,0.245052702360704,0,0,9.56180856180856,21.5992275397069,"CALM1"
"107","Mitochondrial DNA levels","1/22",0.104464697819105,0.245052702360704,0,0,9.56180856180856,21.5992275397069,"ZBTB20"
"108","Electrocardiographic traits","1/23",0.108947297836033,0.24859792506222,0,0,9.1267217630854,20.2329475165344,"NDRG4"
"109","Osteoarthritis (hip)","1/23",0.108947297836033,0.24859792506222,0,0,9.1267217630854,20.2329475165344,"CAMK2B"
"110","Body fat percentage","1/23",0.108947297836033,0.24859792506222,0,0,9.1267217630854,20.2329475165344,"ATXN2L"
"111","Waist-to-hip ratio adjusted for BMI","4/367",0.112125068832168,0.253544074566433,0,0,2.24253902662994,4.90699011876817,"PCBP2;HNRNPA2B1;NPTN;NRCAM"
"112","Irritable bowel syndrome","1/24",0.113407683581024,0.254154719453902,0,0,8.72946859903382,19.0020116101552,"ABLIM2"
"113","Itch intensity from mosquito bite adjusted by bite size","2/117",0.11624255158408,0.255731867956633,0,0,3.51109139307897,7.55613660564706,"MPPED1;CAMK2G"
"114","Feeling hurt","1/25",0.117845964040422,0.255731867956633,0,0,8.36531986531987,17.8882067340701,"CELF4"
"115","Response to antipsychotic treatment","1/25",0.117845964040422,0.255731867956633,0,0,8.36531986531987,17.8882067340701,"ANKS1B"
"116","Atrial fibrillation","3/240",0.119016733630229,0.255731867956633,0,0,2.56596633172387,5.461636697592,"ARNT2;PTK2;GTF2I"
"117","Erosive tooth wear (severe vs none or mild)","1/26",0.122262247628669,0.255731867956633,0,0,8.03030303030303,16.8763802180029,"MYT1L"
"118","Periodontitis (CDC/AAP)","1/26",0.122262247628669,0.255731867956633,0,0,8.03030303030303,16.8763802180029,"KDM4B"
"119","Cerebrospinal fluid p-tau levels in mild cognitive impairment","1/26",0.122262247628669,0.255731867956633,0,0,8.03030303030303,16.8763802180029,"CAMK2B"
"120","Response to fenofibrate (total cholesterol levels)","1/26",0.122262247628669,0.255731867956633,0,0,8.03030303030303,16.8763802180029,"DLGAP1"
"121","White matter hyperintensity burden","1/27",0.126656642302827,0.260580469000078,0,0,7.72105672105672,15.9538300108164,"NRCAM"
"122","Seasonality and depression","1/27",0.126656642302827,0.260580469000078,0,0,7.72105672105672,15.9538300108164,"ZBTB20"
"123","Resting heart rate","2/127",0.132846507942149,0.271093280434792,0,0,3.22857142857143,6.5170680254594,"ASPH;NDRG2"
"124","Thrombin-activatable fibrinolysis inhibitor activation peptide","1/30",0.139709563918842,0.278310321774836,0,0,6.92128178335075,13.6223945108193,"ARPP21"
"125","Refractive error","1/30",0.139709563918842,0.278310321774836,0,0,6.92128178335075,13.6223945108193,"RBFOX1"
"126","Microalbuminuria","1/30",0.139709563918842,0.278310321774836,0,0,6.92128178335075,13.6223945108193,"NCALD"
"127","Fasting blood glucose (BMI interaction)","1/31",0.144017471501311,0.280220041448288,0,0,6.69023569023569,12.9644769200402,"MADD"
"128","Uric acid levels","1/31",0.144017471501311,0.280220041448288,0,0,6.69023569023569,12.9644769200402,"NRXN2"
"129","Serum uric acid levels in response to allopurinol in gout","1/31",0.144017471501311,0.280220041448288,0,0,6.69023569023569,12.9644769200402,"AATK"
"130","Motion sickness","1/32",0.148304021933978,0.28634084234945,0,0,6.47409579667644,12.3557529781019,"CELF2"
"131","Self-reported risk-taking behaviour","1/33",0.152569319997184,0.289413095415552,0,0,6.27146464646465,11.7912078898077,"TCF4"
"132","Social communication problems","1/33",0.152569319997184,0.289413095415552,0,0,6.27146464646465,11.7912078898077,"EPB41L3"
"133","Feeling miserable","1/34",0.156813470025957,0.289413095415552,0,0,6.08111417202326,11.2664696999635,"CELF4"
"134","Periodontal microbiota","1/34",0.156813470025957,0.289413095415552,0,0,6.08111417202326,11.2664696999635,"CAMTA1"
"135","Initial alcohol sensitivity","1/34",0.156813470025957,0.289413095415552,0,0,6.08111417202326,11.2664696999635,"DLGAP1"
"136","Lung cancer in never smokers","1/34",0.156813470025957,0.289413095415552,0,0,6.08111417202326,11.2664696999635,"OGDH"
"137","Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)","4/419",0.158148813583389,0.289747096419202,0,0,1.95632530120482,3.60789196024421,"PCBP2;HNRNPA2B1;NPTN;NRCAM"
"138","Bone mineral density (spine)","1/35",0.161036575774195,0.292899858835673,0,0,5.90196078431373,10.7777108251808,"HDAC5"
"139","Mean platelet volume","3/281",0.166311225030135,0.300317391960891,0,0,2.18297114885411,3.91601971139578,"CAMTA1;KALRN;SEPT5"
"140","Body mass index","9/1246",0.170465495484661,0.303969190360988,0,0,1.49215134097915,2.63994753973845,"ATXN2L;ARNT2;RBFOX1;ODF2;MIB2;NRXN2;ANK2;DNM1;ANKS1B"
"141","Urate levels in lean individuals","1/38",0.173580657931626,0.303969190360988,0,0,5.42260442260442,9.49559255823113,"NRXN2"
"142","Periodontal disease-related phenotypes","1/38",0.173580657931626,0.303969190360988,0,0,5.42260442260442,9.49559255823113,"SNRPN"
"143","Heschl's gyrus morphology","1/38",0.173580657931626,0.303969190360988,0,0,5.42260442260442,9.49559255823113,"KALRN"
"144","Autism spectrum disorder or schizophrenia","6/752",0.174590493225563,0.303969190360988,0,0,1.6388682904569,2.86033663459657,"BAG6;MADD;TCF4;ATP2B2;SNAP91;R3HDM2"
"145","Fasting blood glucose","1/39",0.17772061456847,0.303969190360988,0,0,5.27963849016481,9.12080010262218,"MADD"
"146","Metabolite levels (small molecules and protein measures)","1/39",0.17772061456847,0.303969190360988,0,0,5.27963849016481,9.12080010262218,"NDRG2"
"147","Waist-to-hip ratio adjusted for BMI (age <50)","2/153",0.178142688387259,0.303969190360988,0,0,2.66914447898365,4.60472912764016,"PCBP2;HNRNPA2B1"
"148","Erosive tooth wear (severe vs non-severe)","1/40",0.181840038445641,0.303969190360988,0,0,5.14400414400414,8.76861291991989,"MYT1L"
"149","Tourette's syndrome or obsessive-compulsive disorder","1/40",0.181840038445641,0.303969190360988,0,0,5.14400414400414,8.76861291991989,"CAMTA1"
"150","Carotid plaque burden","1/40",0.181840038445641,0.303969190360988,0,0,5.14400414400414,8.76861291991989,"SNRPN"
"151","Cerebral amyloid deposition (PET imaging)","1/41",0.185939030336605,0.303969190360988,0,0,5.01515151515152,8.43717221072756,"EPB41L3"
"152","Regular attendance at a gym or sports club","1/41",0.185939030336605,0.303969190360988,0,0,5.01515151515152,8.43717221072756,"TCF4"
"153","Response to methotrexate in juvenile idiopathic arthritis","1/41",0.185939030336605,0.303969190360988,0,0,5.01515151515152,8.43717221072756,"ANKS1B"
"154","Blood metabolite levels","2/158",0.187118158863922,0.303969190360988,0,0,2.58294086865515,4.32904762987482,"SH3GLB2;KIFC2"
"155","General cognitive ability","3/299",0.188606771592525,0.303969190360988,0,0,2.04834215658958,3.41682112637899,"RBFOX1;ARPP21;KALRN"
"156","Granulocyte percentage of myeloid white cells","2/159",0.188921090423562,0.303969190360988,0,0,2.56635902768751,4.27664705514897,"KDM4B;PCBP2"
"157","Crohn's disease","5/613",0.192824533765842,0.306371735037502,0,0,1.67001385041551,2.74880047141387,"ATXN2L;CAMTA1;ARHGEF2;CAMK2G;ATP6V0A1"
"158","Cerebrospinal fluid t-tau:AB1-42 ratio","1/43",0.19407611900782,0.306371735037502,0,0,4.77585377585378,7.83003533696715,"SNRPN"
"159","Mild influenza (H1N1) infection","1/43",0.19407611900782,0.306371735037502,0,0,4.77585377585378,7.83003533696715,"CLCN4"
"160","Angiotensin-converting enzyme inhibitor intolerance","1/44",0.1981144149655,0.310791988477128,0,0,4.6645525017618,7.55149331126355,"ANKS1B"
"161","Pediatric autoimmune diseases","1/45",0.202132677279174,0.313180876525141,0,0,4.55831037649219,7.28796784173202,"ATXN2L"
"162","Metabolic syndrome","1/45",0.202132677279174,0.313180876525141,0,0,4.55831037649219,7.28796784173202,"CAMK2B"
"163","Psoriasis vulgaris","1/46",0.206131004383124,0.315480988415634,0,0,4.45679012345679,7.03835624820852,"CAMK2G"
"164","Late-onset Alzheimer's disease","1/46",0.206131004383124,0.315480988415634,0,0,4.45679012345679,7.03835624820852,"SLMAP"
"165","Huntington's disease progression","1/47",0.210109494168341,0.318631086240236,0,0,4.3596837944664,6.80165814675797,"ADD1"
"166","Monocyte percentage of white cells","2/171",0.210728128748523,0.318631086240236,0,0,2.38268325081512,3.71028211013766,"KDM4B;PCBP2"
"167","ALT levels after remission induction therapy in actute lymphoblastic leukemia (ALL)","1/48",0.214068244088033,0.319828150393431,0,0,4.26670964968837,6.57696403663591,"DCTN1"
"168","Severe influenza A (H1N1) infection","1/48",0.214068244088033,0.319828150393431,0,0,4.26670964968837,6.57696403663591,"ARPP21"
"169","Sjogren's syndrome","1/51",0.225827021656465,0.335399896069662,0,0,4.01010101010101,5.96697401593565,"GTF2I"
"170","Glaucoma","1/52",0.229707776816989,0.338970321676456,0,0,3.93127351950881,5.78269622196604,"RBFOX1"
"171","Rheumatoid arthritis","2/182",0.230931972138144,0.338970321676456,0,0,2.23582766439909,3.27690080560998,"RBFOX1;PDE2A"
"172","Amyotrophic lateral sclerosis","1/54",0.237411602446854,0.343602374500441,0,0,3.78254240518391,5.43914439332398,"KALRN"
"173","Bone mineral density (hip)","1/54",0.237411602446854,0.343602374500441,0,0,3.78254240518391,5.43914439332398,"HDAC5"
"174","Alcohol dependence","1/55",0.241234861655302,0.343602374500441,0,0,3.71230826786382,5.27884403782842,"CAMTA1"
"175","Serum uric acid levels","1/55",0.241234861655302,0.343602374500441,0,0,3.71230826786382,5.27884403782842,"NRXN2"
"176","Type 2 diabetes (age of onset)","1/56",0.245039143568043,0.343602374500441,0,0,3.64462809917355,5.12557648253206,"MYT1L"
"177","Gut microbiota (functional units)","1/56",0.245039143568043,0.343602374500441,0,0,3.64462809917355,5.12557648253206,"MYT1L"
"178","Pulse pressure x alcohol consumption interaction (2df test)","1/56",0.245039143568043,0.343602374500441,0,0,3.64462809917355,5.12557648253206,"TRAK1"
"179","Sleep duration","1/56",0.245039143568043,0.343602374500441,0,0,3.64462809917355,5.12557648253206,"EPB41L3"
"180","Refractive astigmatism","1/57",0.248824541413001,0.346450153760266,0,0,3.57936507936508,4.97892289699759,"RBFOX1"
"181","Visceral adipose tissue/subcutaneous adipose tissue ratio","1/58",0.252591147960672,0.346450153760266,0,0,3.5163919900762,4.83849599837867,"TRAK1"
"182","Cognitive ability","1/58",0.252591147960672,0.346450153760266,0,0,3.5163919900762,4.83849599837867,"ATXN2L"
"183","Manganese levels","1/58",0.252591147960672,0.346450153760266,0,0,3.5163919900762,4.83849599837867,"ATP2B2"
"184","Intelligence","1/59",0.256339055642632,0.349679907425547,0,0,3.45559038662487,4.70393718537215,"ATXN2L"
"185","Pulmonary function","1/61",0.263779141308675,0.35788413226204,0,0,3.34006734006734,4.45111773409346,"SNRPN"
"186","Urinary albumin excretion","1/63",0.271145528260931,0.36266902099317,0,0,3.23199739328772,4.21807849737542,"TCF4"
"187","Corneal astigmatism","1/63",0.271145528260931,0.36266902099317,0,0,3.23199739328772,4.21807849737542,"MADD"
"188","Asthma","2/204",0.271640541620382,0.36266902099317,0,0,1.99009900990099,2.59364753063841,"ARPP21;CELF2"
"189","Systemic lupus erythematosus","3/365",0.27550669973062,0.365884558901511,0,0,1.66924873269921,2.15190087361494,"KDM4B;CAMK2G;GTF2I"
"190","Schizophrenia","6/882",0.279196766670374,0.368725227101936,0,0,1.38618478577674,1.76854790235847,"BAG6;NDRG4;TCF4;KALRN;SNAP91;R3HDM2"
"191","Inflammatory bowel disease","5/709",0.281242296042691,0.368725227101936,0,0,1.43510765550239,1.82048962505363,"ATXN2L;BAG6;CAMTA1;ARHGEF2;ATP6V0A1"
"192","PR interval","1/67",0.285660089808726,0.368725227101936,0,0,3.03550658096113,3.80334608196671,"SORBS1"
"193","Ischemic stroke","1/67",0.285660089808726,0.368725227101936,0,0,3.03550658096113,3.80334608196671,"ANK2"
"194","Major depressive disorder","2/212",0.286459837788357,0.368725227101936,0,0,1.91350826044704,2.39218562177364,"RBFOX1;EPN1"
"195","Menarche (age at onset)","2/212",0.286459837788357,0.368725227101936,0,0,1.91350826044704,2.39218562177364,"DLGAP1;GTF2I"
