"","GO_Molecular_Function_2018.Term","GO_Molecular_Function_2018.Overlap","GO_Molecular_Function_2018.P.value","GO_Molecular_Function_2018.Adjusted.P.value","GO_Molecular_Function_2018.Old.P.value","GO_Molecular_Function_2018.Old.Adjusted.P.value","GO_Molecular_Function_2018.Odds.Ratio","GO_Molecular_Function_2018.Combined.Score","GO_Molecular_Function_2018.Genes"
"29","inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity (GO:0052659)","1/7",0.0344842492004147,0.203372796505296,0,0,33.4915824915825,112.774618360503,"SYNJ1"
"30","microtubule motor activity (GO:0003777)","2/60",0.0363103684614095,0.203372796505296,0,0,6.981703026038,23.1488972243337,"KIFC2;KIF1A"
"31","aryl hydrocarbon receptor binding (GO:0017162)","1/8",0.0393135041520565,0.203372796505296,0,0,28.7056277056277,92.8967850071638,"ARNT2"
"32","phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity (GO:0004439)","1/8",0.0393135041520565,0.203372796505296,0,0,28.7056277056277,92.8967850071638,"SYNJ1"
"33","phosphatidylinositol transporter activity (GO:0008526)","1/8",0.0393135041520565,0.203372796505296,0,0,28.7056277056277,92.8967850071638,"PITPNM1"
"34","protein phosphatase activator activity (GO:0072542)","1/8",0.0393135041520565,0.203372796505296,0,0,28.7056277056277,92.8967850071638,"CALM1"
"35","phosphatidylinositol-4,5-bisphosphate phosphatase activity (GO:0106019)","1/8",0.0393135041520565,0.203372796505296,0,0,28.7056277056277,92.8967850071638,"SYNJ1"
"36","ATPase binding (GO:0051117)","2/63",0.0396819029137974,0.203372796505296,0,0,6.6373369019739,21.4177572290841,"ANK2;ATP6V0A1"
"37","mitogen-activated protein kinase kinase binding (GO:0031434)","2/65",0.041993132410768,0.203372796505296,0,0,6.42597991577583,20.3719576107223,"EPHA5;DLG1"
"38","GABA receptor binding (GO:0050811)","1/9",0.0441188457824273,0.203372796505296,0,0,25.1161616161616,78.3842312444799,"TRAK1"
"39","phosphatase activator activity (GO:0019211)","1/9",0.0441188457824273,0.203372796505296,0,0,25.1161616161616,78.3842312444799,"CALM1"
"40","retinoid X receptor binding (GO:0046965)","1/9",0.0441188457824273,0.203372796505296,0,0,25.1161616161616,78.3842312444799,"MED25"
"41","inositol tetrakisphosphate phosphatase activity (GO:0052743)","1/9",0.0441188457824273,0.203372796505296,0,0,25.1161616161616,78.3842312444799,"SYNJ1"
"42","histone demethylase activity (H3-K36 specific) (GO:0051864)","1/9",0.0441188457824273,0.203372796505296,0,0,25.1161616161616,78.3842312444799,"KDM4B"
"43","protein homodimerization activity (GO:0042803)","7/664",0.0488280181670538,0.203372796505296,0,0,2.20456293677681,6.65656973780681,"CAMK2B;TRIM9;PDE2A;TCF4;CAMK2G;RAP1GAP;ADD1"
"44","cGMP binding (GO:0030553)","1/10",0.0489003911418305,0.203372796505296,0,0,22.324354657688,67.3742300304506,"PDE2A"
"45","cyclic-nucleotide phosphodiesterase activity (GO:0004112)","1/10",0.0489003911418305,0.203372796505296,0,0,22.324354657688,67.3742300304506,"PDE2A"
"46","death receptor binding (GO:0005123)","1/10",0.0489003911418305,0.203372796505296,0,0,22.324354657688,67.3742300304506,"MADD"
"47","adenylate cyclase binding (GO:0008179)","1/10",0.0489003911418305,0.203372796505296,0,0,22.324354657688,67.3742300304506,"CALM1"
"48","G-rich strand telomeric DNA binding (GO:0098505)","1/10",0.0489003911418305,0.203372796505296,0,0,22.324354657688,67.3742300304506,"HNRNPA2B1"
"49","calcium channel inhibitor activity (GO:0019855)","1/10",0.0489003911418305,0.203372796505296,0,0,22.324354657688,67.3742300304506,"CALM1"
"50","inositol trisphosphate phosphatase activity (GO:0046030)","1/10",0.0489003911418305,0.203372796505296,0,0,22.324354657688,67.3742300304506,"SYNJ1"
"51","transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)","4/280",0.0520009810166845,0.203372796505296,0,0,2.96256038647343,8.7587881407294,"HNRNPK;MYT1L;CAMTA1;TCF4"
"52","nitric-oxide synthase binding (GO:0050998)","1/11",0.0536582567508638,0.203372796505296,0,0,20.0909090909091,58.7683184218827,"DNM1"
"53","3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)","1/11",0.0536582567508638,0.203372796505296,0,0,20.0909090909091,58.7683184218827,"PDE2A"
"54","calcium ion transmembrane transporter activity (GO:0015085)","2/77",0.0568570608364097,0.203372796505296,0,0,5.39455782312925,15.4673563823572,"PDE2A;ATP2B2"
"55","transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001077)","3/175",0.0575615219120738,0.203372796505296,0,0,3.54735075521458,10.1273350654031,"HNRNPK;CAMTA1;TCF4"
"56","microtubule plus-end binding (GO:0051010)","1/12",0.0583925585800791,0.203372796505296,0,0,18.2635445362718,51.8788186041542,"CLASP2"
"57","fibroblast growth factor receptor binding (GO:0005104)","1/12",0.0583925585800791,0.203372796505296,0,0,18.2635445362718,51.8788186041542,"NPTN"
"58","single-stranded telomeric DNA binding (GO:0043047)","1/12",0.0583925585800791,0.203372796505296,0,0,18.2635445362718,51.8788186041542,"HNRNPA2B1"
"59","RNA polymerase II basal transcription factor binding (GO:0001091)","1/12",0.0583925585800791,0.203372796505296,0,0,18.2635445362718,51.8788186041542,"TCF4"
"60","phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity (GO:0052629)","1/12",0.0583925585800791,0.203372796505296,0,0,18.2635445362718,51.8788186041542,"SYNJ1"
"61","cAMP binding (GO:0030552)","1/12",0.0583925585800791,0.203372796505296,0,0,18.2635445362718,51.8788186041542,"PDE2A"
"62","voltage-gated chloride channel activity (GO:0005247)","1/12",0.0583925585800791,0.203372796505296,0,0,18.2635445362718,51.8788186041542,"CLCN4"
"63","nucleoside-triphosphatase activity (GO:0017111)","5/424",0.0616170740064385,0.203372796505296,0,0,2.44705439015199,6.81949099152404,"KIFC2;KIF1A;SEPT5;RAP1GAP;DNM1"
"64","guanylate kinase activity (GO:0004385)","1/13",0.0631034120924419,0.203372796505296,0,0,16.7407407407407,46.2543391597171,"DLG1"
"65","ionotropic glutamate receptor binding (GO:0035255)","1/13",0.0631034120924419,0.203372796505296,0,0,16.7407407407407,46.2543391597171,"DLG1"
"66","histone demethylase activity (H3-K9 specific) (GO:0032454)","1/13",0.0631034120924419,0.203372796505296,0,0,16.7407407407407,46.2543391597171,"KDM4B"
"67","phosphatidylinositol phosphate 5-phosphatase activity (GO:0034595)","1/13",0.0631034120924419,0.203372796505296,0,0,16.7407407407407,46.2543391597171,"SYNJ1"
"68","motor activity (GO:0003774)","2/85",0.067632189652766,0.203372796505296,0,0,4.87263339070568,13.1252723836309,"KIFC2;KIF1A"
"69","histone deacetylase binding (GO:0042826)","2/85",0.067632189652766,0.203372796505296,0,0,4.87263339070568,13.1252723836309,"HDAC5;AKAP8L"
"70","calcium-transporting ATPase activity (GO:0005388)","1/14",0.0677909321684321,0.203372796505296,0,0,15.4522144522145,41.5869594433684,"ATP2B2"
"71","titin binding (GO:0031432)","1/14",0.0677909321684321,0.203372796505296,0,0,15.4522144522145,41.5869594433684,"CALM1"
"72","phosphatidylinositol monophosphate phosphatase activity (GO:0052744)","1/14",0.0677909321684321,0.203372796505296,0,0,15.4522144522145,41.5869594433684,"SYNJ1"
"73","phosphatidylinositol-3-phosphatase activity (GO:0004438)","1/14",0.0677909321684321,0.203372796505296,0,0,15.4522144522145,41.5869594433684,"SYNJ1"
"74","phosphatidylinositol-3,5-bisphosphate phosphatase activity (GO:0106018)","1/15",0.0724552331756038,0.211051474197489,0,0,14.3477633477633,37.6598138369901,"SYNJ1"
"75","3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)","1/15",0.0724552331756038,0.211051474197489,0,0,14.3477633477633,37.6598138369901,"PDE2A"
"76","retinoic acid receptor binding (GO:0042974)","1/16",0.0770964289305897,0.211051474197489,0,0,13.3905723905724,34.3159973270839,"MED25"
"77","proton-transporting ATPase activity, rotational mechanism (GO:0046961)","1/16",0.0770964289305897,0.211051474197489,0,0,13.3905723905724,34.3159973270839,"ATP6V0A1"
"78","ubiquitin-specific protease binding (GO:1990381)","1/16",0.0770964289305897,0.211051474197489,0,0,13.3905723905724,34.3159973270839,"BAG6"
"79","phosphatidic acid binding (GO:0070300)","1/16",0.0770964289305897,0.211051474197489,0,0,13.3905723905724,34.3159973270839,"PITPNM1"
"80","ionotropic glutamate receptor activity (GO:0004970)","1/16",0.0770964289305897,0.211051474197489,0,0,13.3905723905724,34.3159973270839,"GRIA2"
"81","ephrin receptor activity (GO:0005003)","1/17",0.0817146326715557,0.21560848861531,0,0,12.5530303030303,31.4393429542943,"EPHA5"
"82","antiporter activity (GO:0015297)","1/17",0.0817146326715557,0.21560848861531,0,0,12.5530303030303,31.4393429542943,"CLCN4"
"83","transmembrane-ephrin receptor activity (GO:0005005)","1/17",0.0817146326715557,0.21560848861531,0,0,12.5530303030303,31.4393429542943,"EPHA5"
"84","ankyrin binding (GO:0030506)","1/18",0.0863099571505928,0.217262995585975,0,0,11.8140225787285,28.9421143066093,"NRCAM"
"85","hyaluronic acid binding (GO:0005540)","1/18",0.0863099571505928,0.217262995585975,0,0,11.8140225787285,28.9421143066093,"BCAN"
"86","voltage-gated anion channel activity (GO:0008308)","1/18",0.0863099571505928,0.217262995585975,0,0,11.8140225787285,28.9421143066093,"CLCN4"
"87","protein kinase A regulatory subunit binding (GO:0034237)","1/18",0.0863099571505928,0.217262995585975,0,0,11.8140225787285,28.9421143066093,"AKAP8L"
"88","insulin receptor binding (GO:0005158)","1/19",0.0908825145361798,0.221147452038038,0,0,11.1571268237935,26.7568838212325,"SORBS1"
"89","ephrin receptor binding (GO:0046875)","1/19",0.0908825145361798,0.221147452038038,0,0,11.1571268237935,26.7568838212325,"ANKS1B"
"90","RNA polymerase II transcription factor activity, sequence-specific transcription regulatory region DNA binding (GO:0001133)","1/19",0.0908825145361798,0.221147452038038,0,0,11.1571268237935,26.7568838212325,"THRA"
"91","3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)","1/20",0.0954324164624815,0.221507060015118,0,0,10.5693779904306,24.8310303892707,"PDE2A"
"92","glutamate receptor activity (GO:0008066)","1/20",0.0954324164624815,0.221507060015118,0,0,10.5693779904306,24.8310303892707,"GRIA2"
"93","glutamate receptor binding (GO:0035254)","1/20",0.0954324164624815,0.221507060015118,0,0,10.5693779904306,24.8310303892707,"DLG1"
"94","proteasome binding (GO:0070628)","1/20",0.0954324164624815,0.221507060015118,0,0,10.5693779904306,24.8310303892707,"BAG6"
"95","TBP-class protein binding (GO:0017025)","1/21",0.0999597740324998,0.221507060015118,0,0,10.040404040404,23.1229243332888,"THRA"
"96","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)","1/21",0.0999597740324998,0.221507060015118,0,0,10.040404040404,23.1229243332888,"GRIA2"
"97","hydrogen-exporting ATPase activity (GO:0036442)","1/21",0.0999597740324998,0.221507060015118,0,0,10.040404040404,23.1229243332888,"ATP6V0A1"
"98","cyclic nucleotide binding (GO:0030551)","1/21",0.0999597740324998,0.221507060015118,0,0,10.040404040404,23.1229243332888,"PDE2A"
"99","GTPase activity (GO:0003924)","3/222",0.100133328499985,0.221507060015118,0,0,2.77940968789719,6.39612403764363,"SEPT5;RAP1GAP;DNM1"
"100","ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662)","1/22",0.104464697819105,0.226512562597862,0,0,9.56180856180856,21.5992275397069,"ATP2B2"
"101","bHLH transcription factor binding (GO:0043425)","1/22",0.104464697819105,0.226512562597862,0,0,9.56180856180856,21.5992275397069,"TCF4"
"102","disordered domain specific binding (GO:0097718)","1/23",0.108947297836033,0.231645225496031,0,0,9.1267217630854,20.2329475165344,"CALM1"
"103","nucleotide kinase activity (GO:0019201)","1/23",0.108947297836033,0.231645225496031,0,0,9.1267217630854,20.2329475165344,"DLG1"
"104","miRNA binding (GO:0035198)","1/24",0.113407683581024,0.234304553813625,0,0,8.72946859903382,19.0020116101552,"HNRNPA2B1"
"105","kinase activator activity (GO:0019209)","1/24",0.113407683581024,0.234304553813625,0,0,8.72946859903382,19.0020116101552,"MADD"
"106","ATPase coupled ion transmembrane transporter activity (GO:0042625)","1/24",0.113407683581024,0.234304553813625,0,0,8.72946859903382,19.0020116101552,"ATP2B2"
"107","protein kinase activity (GO:0004672)","5/513",0.114562177933315,0.234477728667252,0,0,2.00911728139246,4.35302897367469,"EPHA5;CAMK2B;FASTK;CAMK2G;PTK2"
"108","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)","1/25",0.117845964040422,0.238965427081966,0,0,8.36531986531987,17.8882067340701,"ATP6V0A1"
"109","tumor necrosis factor receptor superfamily binding (GO:0032813)","1/26",0.122262247628669,0.243413020278896,0,0,8.03030303030303,16.8763802180029,"MADD"
"110","SH2 domain binding (GO:0042169)","1/26",0.122262247628669,0.243413020278896,0,0,8.03030303030303,16.8763802180029,"PTK2"
"111","actin filament binding (GO:0051015)","2/127",0.132846507942149,0.260072477606747,0,0,3.22857142857143,6.5170680254594,"ABLIM2;ADD1"
"112","ubiquitin conjugating enzyme binding (GO:0031624)","1/29",0.13538019382269,0.260072477606747,0,0,7.16883116883117,14.3352837783296,"RNF14"
"113","excitatory extracellular ligand-gated ion channel activity (GO:0005231)","1/29",0.13538019382269,0.260072477606747,0,0,7.16883116883117,14.3352837783296,"GRIA2"
"114","cation-transporting ATPase activity (GO:0019829)","1/29",0.13538019382269,0.260072477606747,0,0,7.16883116883117,14.3352837783296,"ATP2B2"
"115","protein serine/threonine kinase activator activity (GO:0043539)","1/31",0.144017471501311,0.269571164605018,0,0,6.69023569023569,12.9644769200402,"CALM1"
"116","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706)","1/31",0.144017471501311,0.269571164605018,0,0,6.69023569023569,12.9644769200402,"KDM4B"
"117","ATP-dependent microtubule motor activity, plus-end-directed (GO:0008574)","1/31",0.144017471501311,0.269571164605018,0,0,6.69023569023569,12.9644769200402,"KIF1A"
"118","protein heterodimerization activity (GO:0046982)","3/265",0.147219926732178,0.272929250449926,0,0,2.31817108680255,4.44121640468074,"ARNT2;TCF4;ADD1"
"119","telomeric DNA binding (GO:0042162)","1/32",0.148304021933978,0.272929250449926,0,0,6.47409579667644,12.3557529781019,"HNRNPA2B1"
"120","phosphoric diester hydrolase activity (GO:0008081)","1/33",0.152569319997184,0.273874435076912,0,0,6.27146464646465,11.7912078898077,"PDE2A"
"121","transmitter-gated ion channel activity (GO:0022824)","1/33",0.152569319997184,0.273874435076912,0,0,6.27146464646465,11.7912078898077,"GRIA2"
"122","ion channel inhibitor activity (GO:0008200)","1/33",0.152569319997184,0.273874435076912,0,0,6.27146464646465,11.7912078898077,"CALM1"
"123","ubiquitin-protein transferase activity (GO:0004842)","4/417",0.156261120909084,0.274737199485476,0,0,1.9660008071025,3.64934342447704,"TRIM9;RNF14;TTC3;MIB2"
"124","carboxylic acid binding (GO:0031406)","1/34",0.156813470025957,0.274737199485476,0,0,6.08111417202326,11.2664696999635,"BCAN"
"125","E-box binding (GO:0070888)","1/34",0.156813470025957,0.274737199485476,0,0,6.08111417202326,11.2664696999635,"TCF4"
"126","GTPase regulator activity (GO:0030695)","3/275",0.159065716294026,0.276471364034854,0,0,2.23180715585203,4.10303875396326,"RUNDC3A;KALRN;RAP1GAP"
"127","ubiquitin-like protein conjugating enzyme binding (GO:0044390)","1/35",0.161036575774195,0.277692992870462,0,0,5.90196078431373,10.7777108251808,"RNF14"
"128","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)","1/36",0.165238740567014,0.282713157688876,0,0,5.73304473304473,10.3215669941692,"GRIA2"
"129","protein tyrosine kinase activity (GO:0004713)","2/147",0.167467830513668,0.284149362135753,0,0,2.78043631245602,4.96853960242873,"EPHA5;PTK2"
"130","transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)","3/284",0.169970623012711,0.284149362135753,0,0,2.1593352166416,3.82662198906307,"HNRNPK;CAMTA1;TCF4"
"131","calcium ion binding (GO:0005509)","3/284",0.169970623012711,0.284149362135753,0,0,2.1593352166416,3.82662198906307,"ASPH;PITPNM1;CALM1"
"132","receptor tyrosine kinase binding (GO:0030971)","1/39",0.17772061456847,0.294854655988599,0,0,5.27963849016481,9.12080010262218,"PITPNM1"
"133","protein kinase C binding (GO:0005080)","1/40",0.181840038445641,0.297186331489517,0,0,5.14400414400414,8.76861291991989,"HDAC5"
"134","histone deacetylase activity (GO:0004407)","1/40",0.181840038445641,0.297186331489517,0,0,5.14400414400414,8.76861291991989,"HDAC5"
"135","phosphotransferase activity, phosphate group as acceptor (GO:0016776)","1/41",0.185939030336605,0.299314577906426,0,0,5.01515151515152,8.43717221072756,"DLG1"
"136","androgen receptor binding (GO:0050681)","1/42",0.190017690585897,0.299314577906426,0,0,4.89258438038926,8.12481204328322,"RNF14"
"137","protein deacetylase activity (GO:0033558)","1/42",0.190017690585897,0.299314577906426,0,0,4.89258438038926,8.12481204328322,"HDAC5"
"138","zinc ion binding (GO:0008270)","3/302",0.192397103291001,0.299314577906426,0,0,2.02747991587077,3.3416798199151,"RNF112;ARHGEF2;ZMYND11"
"139","potassium channel regulator activity (GO:0015459)","1/43",0.19407611900782,0.299314577906426,0,0,4.77585377585378,7.83003533696715,"DLG1"
"140","polyubiquitin modification-dependent protein binding (GO:0031593)","1/43",0.19407611900782,0.299314577906426,0,0,4.77585377585378,7.83003533696715,"BAG6"
"141","non-membrane spanning protein tyrosine kinase activity (GO:0004715)","1/43",0.19407611900782,0.299314577906426,0,0,4.77585377585378,7.83003533696715,"PTK2"
"142","Rac GTPase binding (GO:0048365)","1/43",0.19407611900782,0.299314577906426,0,0,4.77585377585378,7.83003533696715,"ARHGEF2"
"143","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)","4/460",0.1986045328443,0.304156592258054,0,0,1.77668128654971,2.87189817229688,"HNRNPK;THRA;TCF4;ZMYND11"
"144","myosin binding (GO:0017022)","1/46",0.206131004383124,0.313490902499334,0,0,4.45679012345679,7.03835624820852,"TRAK1"
"145","protein phosphatase regulator activity (GO:0019888)","1/47",0.210109494168341,0.316763144968103,0,0,4.3596837944664,6.80165814675797,"CALM1"
"146","phospholipid transporter activity (GO:0005548)","1/48",0.214068244088033,0.316763144968103,0,0,4.26670964968837,6.57696403663591,"PITPNM1"
"147","ATP-dependent microtubule motor activity (GO:1990939)","1/48",0.214068244088033,0.316763144968103,0,0,4.26670964968837,6.57696403663591,"KIF1A"
"148","protein tyrosine kinase binding (GO:1990782)","1/48",0.214068244088033,0.316763144968103,0,0,4.26670964968837,6.57696403663591,"PITPNM1"
"149","mRNA binding (GO:0003729)","2/179",0.225406398880642,0.325369195676092,0,0,2.27406894961374,3.38802228128593,"RBFOX1;HNRNPA2B1"
"150","Rab guanyl-nucleotide exchange factor activity (GO:0017112)","1/51",0.225827021656465,0.325369195676092,0,0,4.01010101010101,5.96697401593565,"MADD"
"151","SH3/SH2 adaptor activity (GO:0005070)","1/51",0.225827021656465,0.325369195676092,0,0,4.01010101010101,5.96697401593565,"SORBS1"
"152","hydrogen ion transmembrane transporter activity (GO:0015078)","1/51",0.225827021656465,0.325369195676092,0,0,4.01010101010101,5.96697401593565,"ATP6V0A1"
"153","methylation-dependent protein binding (GO:0140034)","1/52",0.229707776816989,0.326662357941043,0,0,3.93127351950881,5.78269622196604,"ZMYND11"
"154","extracellular ligand-gated ion channel activity (GO:0005230)","1/52",0.229707776816989,0.326662357941043,0,0,3.93127351950881,5.78269622196604,"GRIA2"
"155","repressing transcription factor binding (GO:0070491)","1/53",0.233569272224541,0.329371611045592,0,0,3.85547785547786,5.60693113764998,"HDAC5"
"156","Ras GTPase binding (GO:0017016)","2/184",0.234620873621518,0.329371611045592,0,0,2.21103386409509,3.20552234069518,"ARHGEF2;RAP1GAP"
"157","methylated histone binding (GO:0035064)","1/55",0.241234861655302,0.336499584092427,0,0,3.71230826786382,5.27884403782842,"ZMYND11"
"158","chloride transmembrane transporter activity (GO:0015108)","1/56",0.245039143568043,0.337506744914475,0,0,3.64462809917355,5.12557648253206,"CLCN4"
"159","nuclear hormone receptor binding (GO:0035257)","1/56",0.245039143568043,0.337506744914475,0,0,3.64462809917355,5.12557648253206,"MED25"
"160","double-stranded RNA binding (GO:0003725)","1/59",0.256339055642632,0.349299239347906,0,0,3.45559038662487,4.70393718537215,"DHX30"
"161","ligand-gated cation channel activity (GO:0099094)","1/60",0.260068356267662,0.349299239347906,0,0,3.39684985447697,4.57491398098809,"GRIA2"
"162","protein serine/threonine phosphatase activity (GO:0004722)","1/61",0.263779141308675,0.349299239347906,0,0,3.34006734006734,4.45111773409346,"CAMK2G"
"163","transmembrane receptor protein tyrosine kinase activity (GO:0004714)","1/61",0.263779141308675,0.349299239347906,0,0,3.34006734006734,4.45111773409346,"EPHA5"
"164","chloride channel activity (GO:0005254)","1/61",0.263779141308675,0.349299239347906,0,0,3.34006734006734,4.45111773409346,"CLCN4"
"165","RNA polymerase II regulatory region DNA binding (GO:0001012)","2/201",0.266080599970853,0.349299239347906,0,0,2.02040816326531,2.67493152775878,"THRA;ZMYND11"
"166","transmembrane receptor protein kinase activity (GO:0019199)","1/62",0.267471501800711,0.349299239347906,0,0,3.28514654744163,4.33226156152993,"EPHA5"
"167","PDZ domain binding (GO:0030165)","1/62",0.267471501800711,0.349299239347906,0,0,3.28514654744163,4.33226156152993,"ATP2B2"
"168","ATPase activity (GO:0016887)","2/203",0.269787257396922,0.349299239347906,0,0,2.00010153315057,2.62037615304045,"KIFC2;KIF1A"
"169","small GTPase binding (GO:0031267)","1/63",0.271145528260931,0.349299239347906,0,0,3.23199739328772,4.21807849737542,"RAP1GAP"
"170","mRNA 3'-UTR binding (GO:0003730)","1/63",0.271145528260931,0.349299239347906,0,0,3.23199739328772,4.21807849737542,"HNRNPA2B1"
"171","ligand-dependent nuclear receptor transcription coactivator activity (GO:0030374)","1/65",0.278438939213788,0.35344383993283,0,0,3.13068181818182,4.00275356439037,"THRA"
"172","protein serine/threonine kinase activity (GO:0004674)","3/368",0.279579887845077,0.35344383993283,0,0,1.6552746787177,2.1095932901381,"CAMK2B;FASTK;CAMK2G"
"173","anion channel activity (GO:0005253)","1/66",0.282058502576368,0.35344383993283,0,0,3.08236208236208,3.90116313048372,"CLCN4"
