"","GO_Biological_Process_2018.Term","GO_Biological_Process_2018.Overlap","GO_Biological_Process_2018.P.value","GO_Biological_Process_2018.Adjusted.P.value","GO_Biological_Process_2018.Old.P.value","GO_Biological_Process_2018.Old.Adjusted.P.value","GO_Biological_Process_2018.Odds.Ratio","GO_Biological_Process_2018.Combined.Score","GO_Biological_Process_2018.Genes"
"11","translation (GO:0006412)","79/232",1.32505243541731e-10,5.3471888734704e-08,0,0,2.58044609429532,58.6906953018531,"MRPS17;CARS;RPL5;HBS1L;RPL30;MRPS15;RPL3;MRPS16;VARS;RPL32;RPL34;RPLP0;MRPL37;APEH;RPL10A;RPL6;MRPL32;RPL7;NARS;MRPL4;RPS4X;MRPL42;MRPL3;RPL7A;MRPL2;RPL18A;RPS18;RPL36;RPLP2;RPL38;TSFM;RPS9;WARS;MRPS24;RPS8;RPL23;SARS;DARS2;MRPS5;MRPL52;EEF1G;SARS2;EEF1A2;TARS2;ETF1;RPL26;RPL10;MRPL18;RPL12;RPL11;MRPL16;TARS;HSPA14;GSPT2;MRPL10;MRPL55;RPL14;EIF4H;RPL13;HARS;RPS2;RPL18;RPL19;ABCF1;PTCD3;RWDD1;MTERF3;MRPL28;EEF2;MRPL24;RPS25;RPL27A;MARS;RPS6KB2;FARSA;RPS21;RSL24D1;RPS24;AARS"
"12","RNA processing (GO:0006396)","69/193",1.7321537435742e-10,6.40752538977157e-08,0,0,2.77737691001698,62.4256714495384,"CELF1;GEMIN2;CELF2;CELF3;AKAP8L;HNRNPU;USP39;BICD1;TSEN54;CCAR2;RBM3;PTBP1;RSRC1;SNRNP70;DHX15;BCAS2;RBM5;RBM6;SNRPN;THOC1;PRPF4B;ZCRB1;SRRM1;PRPF4;SFPQ;DDX39B;HNRNPH1;DKC1;PRPF3;SRSF2;SNRPA1;SRSF5;SRSF7;SRSF9;SF3B4;SF3B2;DDX25;SRSF1;NOL9;U2AF1;DEDD2;DHX30;DHX32;DHX33;DHX34;U2AF2;DHX35;DROSHA;SRSF11;SRPK2;IVNS1ABP;RBM39;SF3A1;SF3A2;PNPT1;CPSF6;MTERF3;NONO;USB1;HNRNPL;HNRNPK;SON;HNRNPF;HNRNPA2B1;HNRNPD;RNPS1;SNRNP48;HNRNPC;TARDBP"
"13","ribosome biogenesis (GO:0042254)","77/226",2.19419596441468e-10,7.49233529695134e-08,0,0,2.58169889418439,57.4170744212198,"RPL5;RPL30;RPL3;RPL32;NVL;RPL34;POP4;WDR3;RRP1;RPLP0;NOC2L;RPL10A;RPL6;RPL7;RRP9;RPS4X;RPL7A;YAE1D1;RPL18A;NOB1;RPS18;RPL36;RPLP2;RPL38;UTP14A;RPS9;RPS8;RPL23;TEX10;DDX56;WDR74;IMP4;CSNK1D;CSNK1E;GNL2;GNL1;GNL3;EBNA1BP2;DKC1;RPP21;RPL26;RPL10;RPL12;NIP7;RPL11;ISG20L2;NOC4L;NOL9;NOL6;EXOSC5;EMG1;EXOSC10;EXOSC4;PES1;BMS1;EXOSC8;RPL14;RPL13;RPS2;RPL18;AAMP;EXOSC1;RPL19;NOP56;NPM1;MTERF3;RIOK3;RPP40;WDR12;RPS25;BOP1;LAS1L;RPL27A;TSR1;RPS21;RPS24;MPHOSPH6"
"14","rRNA metabolic process (GO:0016072)","70/200",3.77030945760642e-10,1.19545740587964e-07,0,0,2.68741999301757,58.3135036684171,"TRIR;RPL5;RPL30;RPL3;RPL32;RPL34;POP4;WDR3;RRP1;RPLP0;RPL10A;RPL6;RPL7;RRP9;RPS4X;RPL7A;RPL18A;NOB1;RPS18;RPL36;RPLP2;RPL38;UTP14A;RPS9;RPS8;RPL23;TEX10;DDX56;IMP4;CSNK1D;CSNK1E;SIRT7;EBNA1BP2;DKC1;RPP21;RPL26;RPL10;RPL12;RPL11;ISG20L2;NOC4L;NOL9;DEDD2;NOL6;EXOSC5;EMG1;EXOSC10;EXOSC4;PES1;BMS1;EXOSC8;RPL14;RPL13;RPS2;RPL18;EXOSC1;RPL19;NOP56;RIOK3;RPP40;WDR12;RPS25;BOP1;LAS1L;RPL27A;MARS;TSR1;RPS21;RPS24;MPHOSPH6"
"15","positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000060)","39/87",1.00959285267945e-09,2.9412794187459e-07,0,0,4.03741381894484,83.6298541353496,"PSMD12;PSMD11;ANAPC15;PSMD14;PSMD13;CUL1;CLU;PSMB10;PSMA7;PSMB6;PSMD6;FZR1;PSMB4;PSMD7;CDC23;PSMD4;PSMB3;CDC26;PSMD2;PSMD3;BUB3;ANAPC7;FBXW7;SMURF1;PTK2;PSMA5;PSMA6;PSMA3;PSMA1;PSMC3;PSMC4;PSME3;PSMC2;CDC16;ANAPC4;ANAPC5;CCDC22;ANAPC2;MAD2L1"
"16","negative regulation of ubiquitin protein ligase activity (GO:1904667)","36/77",1.06015928587372e-09,2.9412794187459e-07,0,0,4.36105450003287,90.1205225645227,"RPL5;PSMD12;PSMD11;ANAPC15;PSMD14;PSMD13;RPL11;PSMB10;PSMA7;PSMB6;PSMD6;FZR1;PSMB4;PSMD7;CDC23;PSMD4;PSMB3;CDC26;PSMD2;PSMD3;BUB3;ANAPC7;RPL23;PSMA5;PSMA6;PSMA3;PSMA1;PSMC3;PSMC4;PSME3;PSMC2;CDC16;ANAPC4;ANAPC5;ANAPC2;MAD2L1"
"17","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)","46/112",1.15217800829925e-09,3.00854010520021e-07,0,0,3.4668432598742,71.3532220266294,"RPL5;RPL30;RPL3;RPL32;RPL10;RPL34;RPL12;RPLP0;RPL11;SMG9;CASC3;RPL10A;GSPT2;RPL6;SMG5;RPL7;RPS4X;RPL7A;RPL18A;RPS18;RPL36;RPL14;RPLP2;RPL13;RPL38;RPS2;RPL18;RPL19;UPF1;RPS9;RPS8;RPL23;PYM1;UPF3B;UPF3A;PNRC2;RPS25;RPL27A;RNPS1;SKIV2L;ETF1;RPL26;PABPC1;DCP1A;RPS21;RPS24"
"18","protein modification by small protein removal (GO:0070646)","83/261",2.01160641605076e-09,4.96084493380518e-07,0,0,2.32961930181441,46.649070850571,"OTUD5;USP36;USPL1;USP33;CCP110;ARRB2;ACTB;BABAM1;PSMD6;UCHL1;PSMD7;PSMD4;PSMD2;PSMD3;UFD1;USP48;USP5;USP4;ACTR5;USP2;RAD23A;JOSD2;ACTR8;UCHL3;JOSD1;SENP2;DDB2;PSMA5;RNF123;PSMA6;KAT2A;PSMA3;PSMA1;HGS;PSME3;OTUB1;OTUB2;BECN1;VCP;INO80E;PSMD12;PSMD11;USP16;PSMD14;PSMD13;USP10;GPS1;USP11;COPS7B;WDR20;COPS7A;TANK;PSMA7;PSMB10;USP19;PSMB6;TFPT;PSMB4;PSMB3;RIPK1;RCE1;SUDS3;SMAD2;MBD6;USP21;MCRS1;TAF10;ADRM1;INO80;USP28;RNF146;COPS3;COPS6;MAVS;PSMC3;PSMC4;TNIP2;PSMC2;TADA3;TAB1;COPS8;OGT;BAP1"
"19","protein transport (GO:0015031)","97/326",4.67758503901734e-09,1.09283157832621e-06,0,0,2.11867924578572,40.6372931153945,"TFRC;PDCD6;CLU;IPO4;HID1;ARFIP2;VPS35;TBC1D10A;TBC1D22B;ARRDC4;NSF;RAB2B;ARRDC1;PRKCB;STX7;ANK3;SCAMP2;STX1B;TFR2;RAB34;ATP6V0D1;OPTN;UNC119B;MACF1;COPA;DNAJC27;HSP90B1;SNX1;MYO6;APOE;RAB6A;TBC1D17;ATP6V1D;ATP6V1C1;SPTBN1;SEC31A;ATP6V0A1;CTSA;BBS2;RABGAP1L;ACD;RAB4B;PPT1;IFT27;ARHGAP1;MIA3;VLDLR;TCIRG1;AP4M1;TMED2;EVI5L;CEP290;TMED4;TMED9;SEC13;ATP6V0B;ATP6AP1;TBC1D8;ARFGAP3;DNM2;CTTN;ATP6V1B2;PICK1;ARHGEF2;VAMP2;NAPA;STX12;NAPB;RAMP3;STX17;LRP1;STX16;UNC93B1;RAB1B;HDAC6;GGA2;ARFRP1;GGA1;GGA3;SNX27;RAB40C;RAB26;RAB24;CD74;NPM1;PEX19;AP3D1;MCOLN1;RAB11A;SGSM1;RAB14;SNX17;RAB15;SGSM3;RAB12;SNX15;RAB18"
"20","mRNA 3'-end processing (GO:0031124)","34/74",5.38043380114902e-09,1.19418728216502e-06,0,0,4.21947021849746,80.3408093357808,"AHCYL1;ZC3H3;SRSF1;CSTF2;U2AF1;CASC3;FIP1L1;PCF11;U2AF2;PAPOLA;CSTF1;SRSF11;CPSF4;CPSF7;CHTOP;CPSF6;CPSF1;CPSF3;THOC1;UPF3B;THOC3;THOC2;SRRM1;DDX39B;ZC3H11A;SRSF2;SRSF3;PAF1;RNPS1;PABPC1;SRSF5;GRSF1;SRSF7;SRSF9"
"21","negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436)","33/71",6.2749959721737e-09,1.32641462478472e-06,0,0,4.31014362657092,81.4043594342866,"PSMD12;PSMD11;ANAPC15;PSMD14;PSMD13;PSMB10;PSMA7;PSMB6;PSMD6;FZR1;PSMB4;CDC23;PSMD7;PSMD4;PSMB3;CDC26;PSMD2;PSMD3;BUB3;ANAPC7;PSMA5;PSMA6;PSMA3;PSMA1;PSMC3;PSMC4;PSME3;CDC16;PSMC2;ANAPC4;ANAPC5;ANAPC2;MAD2L1"
"22","protein localization to membrane (GO:0072657)","57/160",7.51975483596924e-09,1.51728144167579e-06,0,0,2.75564880001405,51.5464287689541,"ITGAL;AP4M1;IKBKB;EFR3A;ZFYVE27;BSG;FLOT1;FLOT2;TMED2;TMEM150A;ACTN2;TTC7B;ANK3;ATP1B1;ANK1;GAK;CACNB3;HGS;PACS1;RAB34;PICK1;NUP54;GAS6;SPTBN4;RAMP3;NLGN2;STXBP1;NRXN2;THY1;ZDHHC22;LIN7C;LIN7B;TSPAN33;SLC9A3R1;RAB40C;EPB41L3;DVL1;INPP5K;FLNA;SCN3B;SPTBN1;PACSIN1;CLASP2;BBS2;SMURF1;KCNB1;PTCH1;KCNIP3;AP3D1;MYO5A;BRAF;RAB11A;TSPAN14;DLG2;RAB15;SLMAP;CPE"
"23","positive regulation of ubiquitin protein ligase activity (GO:1904668)","36/82",8.73053228343307e-09,1.68499273070258e-06,0,0,3.88585491620766,72.107631647494,"PSMD12;PSMD11;ANAPC15;PSMD14;PSMD13;CUL1;PSMB10;PSMA7;GOLGA2;PSMB6;PSMD6;FZR1;PSMB4;PSMD7;CDC23;PSMD4;PSMB3;CDC26;PSMD2;PSMD3;BUB3;ANAPC7;PSMA5;PSMA6;PSMA3;PSMA1;PSMC3;PSMC4;GORASP1;PSME3;PSMC2;CDC16;ANAPC4;ANAPC5;ANAPC2;MAD2L1"
"24","regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)","33/72",9.71414597697485e-09,1.79671224965797e-06,0,0,4.19937393546011,77.4771165036503,"PSMD12;PSMD11;ANAPC15;PSMD14;PSMD13;PSMB10;PSMA7;PSMB6;PSMD6;FZR1;PSMB4;PSMD7;CDC23;PSMD4;PSMB3;CDC26;PSMD2;PSMD3;BUB3;ANAPC7;PSMA5;PSMA6;PSMA3;PSMA1;PSMC3;PSMC4;PSME3;PSMC2;CDC16;ANAPC4;ANAPC5;ANAPC2;MAD2L1"
"25","peptide biosynthetic process (GO:0043043)","60/174",1.24979737697511e-08,2.13754461415501e-06,0,0,2.62141779788839,47.7037728366443,"MRPS17;RPL5;HBS1L;RPL30;MRPS15;RPL3;MRPS16;RPL32;RPL34;RPLP0;MRPL37;RPL10A;RPL6;MRPL32;RPL7;MRPL4;RPS4X;MRPL3;MRPL42;RPL7A;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPS9;WARS;MRPS24;RPS8;RPL23;SARS;MRPS5;MRPL52;EEF1A2;RPL26;RPL10;MRPL18;RPL12;RPL11;TARS;GSPT2;MRPL10;MRPL55;CARNS1;RPL14;RPL13;HARS;RPS2;RPL18;RPL19;ABCF1;GGT7;MRPL28;MRPL24;RPS25;RPL27A;RPS6KB2;RPS21;RSL24D1;RPS24"
"26","positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437)","34/76",1.25199729596824e-08,2.13754461415501e-06,0,0,4.01805846552928,73.1123532908449,"PSMD12;PSMD11;ANAPC15;PSMD14;PSMD13;CUL1;PSMB10;PSMA7;PSMB6;PSMD6;FZR1;PSMB4;PSMD7;CDC23;PSMD4;PSMB3;CDC26;PSMD2;PSMD3;BUB3;ANAPC7;PSMA5;PSMA6;PSMA3;PSMA1;PSMC3;PSMC4;PSME3;PSMC2;CDC16;ANAPC4;ANAPC5;ANAPC2;MAD2L1"
"27","viral process (GO:0016032)","71/220",1.46276011132113e-08,2.40488597561278e-06,0,0,2.3762045598583,42.8675752518432,"RPL5;RPL30;ARF1;RPL3;RPL32;RPL34;RPLP0;UBP1;RPL10A;AP2A2;BICD1;RPL6;RPL7;RPS4X;PTBP1;RPL7A;RPL18A;RPS18;RPL36;RPLP2;RPL38;NUP214;RPS9;NUP133;RPS8;IST1;RPL23;VPS37D;VPS37A;HCFC2;HCK;PACS1;CHMP4B;NUP54;RPL26;GAS6;PPIA;CHMP7;VPS28;CHMP5;POM121;VCP;RPL10;CTBP1;RPL12;RAB1B;RPL11;VPS4A;AAAS;PARD6A;PCBP2;RPL14;RPL13;NUP88;APOE;RPS2;RPL18;RAE1;RPL19;AP1M1;RANBP1;SSB;AP2B1;RPS25;RPL27A;PI4KA;CHMP2A;EIF3G;RPS21;RPS24;EIF3B"
"28","protein localization to cell periphery (GO:1990778)","45/117",1.97044277306509e-08,3.12385552486997e-06,0,0,3.10679429429429,55.1220568922677,"SPTBN4;RAMP3;STXBP1;ZDHHC22;LIN7C;LIN7B;TSPAN33;AP4M1;IKBKB;SLC9A3R1;EFR3A;ZFYVE27;RAB40C;BSG;EPB41L3;FLOT1;INPP5K;FLOT2;TMED2;FLNA;SCN3B;SPTBN1;PACSIN1;CLASP2;BBS2;TMEM150A;ACTN2;SMURF1;KCNB1;PTCH1;KCNIP3;TTC7B;MYO5A;ANK3;ATP1B1;ANK1;RAB11A;GAK;CACNB3;TSPAN14;PACS1;RAB15;RAB34;SLMAP;GAS6"
"29","RNA 3'-end processing (GO:0031123)","29/61",2.74076774634914e-08,4.19526483656683e-06,0,0,4.4941441273162,78.2540269379645,"SRSF1;CSTF2;U2AF1;CASC3;FIP1L1;PCF11;U2AF2;PAPOLA;CSTF1;SRSF11;CPSF4;CPSF7;CHTOP;PNPT1;CPSF1;CPSF3;THOC1;UPF3B;THOC3;THOC2;SRRM1;DDX39B;ZC3H11A;SRSF2;SRSF3;RNPS1;SRSF5;SRSF7;SRSF9"
